datetime,datetime_raw,value,uptimevalue_raw,coverage,coverage_raw,Link Value,Previous Link Value,After Link Value,Status Link,IndexTrue,Selisih,Analisis,Analisis Link Tahap 2,Durasi Hidden Non-Link,Durasi Real Restitusi,Service Level
2017-04-01 07:08:00,42826.00556,2 d 18 h 35 m,239724,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 07:13:00,42826.00904,2 d 18 h 40 m,240025,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 07:18:00,42826.01251,2 d 18 h 45 m,240325,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 07:23:00,42826.01598,2 d 18 h 50 m,240626,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 07:28:00,42826.01945,2 d 18 h 55 m,240926,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 07:33:00,42826.02292,2 d 19 h 0 m,241227,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 07:38:00,42826.0264,2 d 19 h 5 m,241527,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 07:43:00,42826.02987,2 d 19 h 10 m,241828,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 07:48:00,42826.03334,2 d 19 h 15 m,242129,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 07:53:00,42826.03682,2 d 19 h 20 m,242429,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 07:58:00,42826.04029,2 d 19 h 25 m,242729,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 08:03:00,42826.04376,2 d 19 h 30 m,243030,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 08:08:00,42826.04723,2 d 19 h 35 m,243330,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 08:13:00,42826.0507,2 d 19 h 40 m,243631,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 08:18:00,42826.05418,2 d 19 h 45 m,243931,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 08:23:00,42826.05765,2 d 19 h 50 m,244232,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 08:28:00,42826.06112,2 d 19 h 55 m,244533,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 08:33:00,42826.06459,2 d 20 h 0 m,244833,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 08:38:00,42826.06806,2 d 20 h 5 m,245134,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 08:43:00,42826.07154,2 d 20 h 10 m,245434,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 08:48:00,42826.07501,2 d 20 h 15 m,245734,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 08:53:00,42826.07848,2 d 20 h 20 m,246035,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 08:58:00,42826.08195,2 d 20 h 25 m,246335,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 09:03:00,42826.08542,2 d 20 h 30 m,246636,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 09:08:00,42826.0889,2 d 20 h 35 m,246936,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 09:13:00,42826.09237,2 d 20 h 40 m,247237,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 09:18:00,42826.09584,2 d 20 h 45 m,247537,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 09:23:00,42826.09931,2 d 20 h 50 m,247837,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
